Policy_ID,Policyholder_Name,Age,Gender,Policy_Start_Date,Policy_End_Date,Country,Vehicle_Make,Vehicle_Model,Vehicle_Year,Autonomy_Level,VIN,Coverage_Type,Annual_Premium,Deductible,Claim_History,Last_Claim_Date,Claim_Amount,Safety_Score,Num_Accidents,IoT_Monitoring,Past_Fraud_Record,Policy_Status,ML_Risk_Score,Dynamic_Risk_Score,Risk_Category
10033,Michael Moore,64,0,0,0,1,2,12,2019,1,1HGCM82633A961113,0,820,316,1,0,2653,66,5,0,0,0,66,76,HIGH B
10034,James Garcia,49,0,0,0,0,3,2,2022,2,1HGCM82633A847793,2,1145,633,0,0,0,99,2,1,1,0,99,119,VERY HIGH
10035,Jacob Hinton,43,1,0,0,0,3,9,2022,1,1HGCM82633A926351,0,1266,482,0,0,0,62,0,0,1,0,62,82,VERY HIGH
10036,Scott Miles,26,1,0,0,0,3,2,2023,1,1HGCM82633A731764,2,1112,358,1,0,3489,96,3,1,0,0,96,106,VERY HIGH
10037,Yolanda Salinas,51,1,0,0,0,2,12,2019,1,1HGCM82633A213765,1,1227,315,3,0,2658,76,0,0,0,0,76,76,HIGH B
10038,Ashley Carlson,32,0,0,0,0,0,10,2020,0,1HGCM82633A296687,0,1174,336,1,0,1703,60,1,1,0,0,60,60,HIGH A
10039,Erica Jimenez,43,0,0,0,0,1,13,2020,0,1HGCM82633A389305,1,915,544,2,0,2115,68,0,1,1,0,68,88,VERY HIGH
10040,Stephanie Meyers,46,0,0,0,1,0,10,2020,2,1HGCM82633A824926,0,905,573,2,0,1281,84,1,1,0,0,84,84,VERY HIGH
10041,Michael Ruiz,45,1,0,0,0,4,14,2021,1,1HGCM82633A801320,2,847,367,0,0,0,85,0,1,0,0,85,85,VERY HIGH
10042,Peter West,51,0,0,0,1,5,0,2023,1,1HGCM82633A275868,1,1452,481,0,0,0,75,3,0,0,0,75,85,VERY HIGH
10043,Laura Gregory,49,0,0,0,0,2,11,2022,0,1HGCM82633A916348,1,1100,541,0,0,0,71,0,0,0,0,71,71,HIGH B
10044,Jennifer Kaufman,60,1,0,0,1,2,12,2022,1,1HGCM82633A993002,0,1053,532,2,0,4287,69,2,0,0,0,69,69,HIGH A
10045,Dawn Jones,55,1,0,0,1,3,9,2023,1,1HGCM82633A466602,0,1023,452,0,0,0,100,2,1,1,0,100,120,VERY HIGH
10046,Bethany Mitchell,70,0,0,0,0,5,0,2020,2,1HGCM82633A007627,1,1086,623,0,0,0,67,2,1,0,0,67,67,HIGH A
10047,Lindsay Miller,41,0,0,0,1,2,12,2021,1,1HGCM82633A256097,1,1488,400,0,0,0,62,0,0,1,0,62,82,VERY HIGH
10048,Anthony Ruiz,59,0,0,0,0,1,13,2020,0,1HGCM82633A009925,1,1096,444,1,0,4702,93,5,1,0,0,93,103,VERY HIGH
10049,Mariah Lee,51,0,0,0,1,0,10,2021,2,1HGCM82633A109795,2,941,380,0,0,0,67,3,0,1,0,67,97,VERY HIGH
10050,Tracy Reeves,33,0,0,0,1,5,0,2022,0,1HGCM82633A264183,1,1300,655,2,0,4036,63,3,0,0,0,63,73,HIGH B
10051,Jill Sherman,56,1,0,0,0,3,6,2022,1,1HGCM82633A510074,0,1339,334,0,0,0,85,0,0,0,0,85,85,VERY HIGH
10052,Theresa Estrada,32,1,0,0,1,5,0,2020,0,1HGCM82633A331886,2,1094,397,0,0,0,87,3,0,1,0,87,117,VERY HIGH
10053,Theresa Thomas,35,0,0,0,1,5,0,2020,1,1HGCM82633A611611,2,951,568,2,0,1058,73,1,0,1,0,73,93,VERY HIGH
10054,Morgan Johnson,49,0,0,0,1,2,12,2020,1,1HGCM82633A660754,0,1400,663,0,0,0,84,0,1,0,0,84,84,VERY HIGH
10055,Benjamin Howard,36,0,0,0,0,5,0,2020,2,1HGCM82633A552035,1,1427,344,2,0,2892,86,3,1,1,0,86,116,VERY HIGH
10056,Briana Smith,62,0,0,0,1,0,10,2020,1,1HGCM82633A104509,1,843,322,0,0,0,70,2,1,1,0,70,90,VERY HIGH
10057,Charles Gibson,66,1,0,0,0,3,9,2020,2,1HGCM82633A542035,1,1371,413,3,0,1579,81,4,1,0,0,81,91,VERY HIGH
10058,Edward Giles,45,0,0,0,1,0,10,2019,2,1HGCM82633A529118,0,994,488,0,0,0,73,4,0,0,0,73,83,VERY HIGH
10059,Brooke Hurst,37,0,0,0,1,0,10,2021,1,1HGCM82633A358332,1,1045,322,2,0,4521,64,0,0,1,0,64,84,VERY HIGH
10060,Matthew Callahan,53,1,0,0,1,2,11,2022,0,1HGCM82633A061126,0,883,423,0,0,0,69,3,1,1,0,69,99,VERY HIGH
10061,Jason House,64,1,0,0,1,1,3,2019,0,1HGCM82633A645137,0,1301,412,1,0,2285,82,2,0,0,0,82,82,VERY HIGH
10062,Travis Brown,60,0,0,0,0,5,0,2022,2,1HGCM82633A065735,2,1273,574,2,0,2232,74,0,1,0,0,74,74,HIGH B
10063,Anna Lopez,36,0,0,0,0,4,14,2019,2,1HGCM82633A418927,2,1327,519,0,0,0,67,3,0,0,0,67,77,HIGH B
10064,Cathy Fisher,61,0,0,0,0,5,0,2020,2,1HGCM82633A375825,0,866,565,2,0,2681,74,2,0,1,0,74,94,VERY HIGH
10065,Angelica Fischer,62,1,0,0,0,3,2,2023,1,1HGCM82633A079703,1,1399,625,0,0,0,68,3,1,0,0,68,78,HIGH B
10066,Randy Fuller,57,1,0,0,0,4,14,2023,2,1HGCM82633A926717,0,1040,675,1,0,1914,84,2,1,1,0,84,104,VERY HIGH
10067,Kimberly Sullivan,31,1,0,0,1,2,11,2021,0,1HGCM82633A014004,0,1368,634,1,0,4052,90,4,0,0,0,90,100,VERY HIGH
10068,Lauren Foster,41,1,0,0,1,5,0,2021,1,1HGCM82633A454391,1,860,406,0,0,0,80,5,1,1,0,80,110,VERY HIGH
10069,Ricky Torres,53,1,0,0,1,0,1,2021,0,1HGCM82633A183216,1,1387,576,0,0,0,100,1,0,0,0,100,100,VERY HIGH
10070,Diane Taylor,56,1,0,0,0,4,5,2019,0,1HGCM82633A381686,2,1134,334,0,0,0,82,5,0,0,0,82,92,VERY HIGH
10071,Sue Ramirez,38,0,0,0,1,4,14,2021,0,1HGCM82633A592211,2,1136,672,3,0,3134,60,3,0,1,0,60,90,VERY HIGH
10072,John Castro,27,1,0,0,1,2,12,2019,2,1HGCM82633A576377,0,1436,638,1,0,652,81,1,1,0,0,81,81,VERY HIGH
10073,Katherine Mullen,26,1,0,0,0,5,0,2022,2,1HGCM82633A427093,0,1435,621,3,0,1229,99,4,1,1,0,99,129,VERY HIGH
10074,James Haney,46,0,0,0,0,5,0,2022,0,1HGCM82633A116050,1,1099,643,1,0,3752,75,4,0,0,0,75,85,VERY HIGH
10075,Zoe Marks,50,0,0,0,1,2,11,2019,1,1HGCM82633A432943,2,1095,581,3,0,286,94,4,0,0,0,94,104,VERY HIGH
10076,Mitchell Cruz,54,0,0,0,0,2,11,2022,0,1HGCM82633A662728,0,1079,678,0,0,0,76,5,0,0,0,76,86,VERY HIGH
10077,Daniel Lopez,58,0,0,0,1,0,1,2019,2,1HGCM82633A667633,1,1048,600,2,0,1331,69,2,1,0,0,69,69,HIGH A
10078,Laurie Williams,61,1,0,0,1,0,10,2021,1,1HGCM82633A031250,1,1213,607,3,0,1392,60,1,1,1,0,60,80,VERY HIGH
10079,Carrie Bishop,33,0,0,0,0,5,0,2021,2,1HGCM82633A184567,2,992,335,3,0,2283,71,4,1,0,0,71,81,VERY HIGH
10080,Kelli Huber,67,1,0,0,0,1,3,2022,1,1HGCM82633A697747,1,1091,306,3,0,2297,76,4,0,1,0,76,106,VERY HIGH
10081,Andrew Williams,37,0,0,0,0,3,2,2020,2,1HGCM82633A040216,2,1376,496,2,0,3802,62,4,0,0,0,62,72,HIGH B
10082,Lee Grant,26,0,0,0,0,5,0,2021,2,1HGCM82633A735919,2,1308,309,1,0,4682,75,2,1,1,0,75,95,VERY HIGH
10083,Erica Bryant,29,0,0,0,0,5,0,2023,2,1HGCM82633A408035,0,992,384,3,0,534,87,5,0,1,0,87,117,VERY HIGH
10084,Joseph Lopez,41,0,0,0,1,1,3,2019,1,1HGCM82633A444864,0,1304,305,2,0,1661,85,3,0,1,0,85,115,VERY HIGH
10085,Micheal Williams,69,1,0,0,1,0,1,2023,2,1HGCM82633A107770,1,1135,312,3,0,3880,93,1,1,0,0,93,93,VERY HIGH
10086,Julia Wilson,61,0,0,0,1,3,7,2020,2,1HGCM82633A312637,0,1487,576,3,0,353,80,0,0,1,0,80,100,VERY HIGH
10087,Jeffery Fischer,33,0,0,0,1,5,0,2023,0,1HGCM82633A023732,1,1113,561,0,0,0,70,1,1,1,0,70,90,VERY HIGH
10088,Diana Bell,70,1,0,0,0,1,3,2020,1,1HGCM82633A184983,2,884,341,1,0,2175,72,2,0,1,0,72,92,VERY HIGH
10089,Jeremy Jacobs,41,0,0,0,0,2,12,2019,2,1HGCM82633A443019,2,981,628,0,0,0,80,0,1,1,0,80,100,VERY HIGH
10090,Annette Quinn,64,1,0,0,1,1,13,2021,2,1HGCM82633A340886,0,1287,695,0,0,0,94,0,0,0,0,94,94,VERY HIGH
10091,Barbara Brewer,30,1,0,0,1,1,3,2023,1,1HGCM82633A953843,1,1187,562,2,0,973,68,2,1,0,0,68,68,HIGH A
10092,Cynthia Holmes,33,1,0,0,1,1,13,2019,1,1HGCM82633A535749,2,863,657,2,0,3190,63,4,1,1,0,63,93,VERY HIGH
10093,Alan Wagner,29,0,0,0,0,2,11,2023,2,1HGCM82633A902622,1,1488,458,3,0,3376,71,0,0,1,0,71,91,VERY HIGH
10094,Brandy Clark DVM,37,0,0,0,0,0,1,2019,0,1HGCM82633A933236,1,821,390,3,0,111,80,3,0,1,0,80,110,VERY HIGH
10095,Brandi Jimenez,30,1,0,0,1,0,1,2023,0,1HGCM82633A908957,0,1141,483,0,0,0,90,0,1,1,0,90,110,VERY HIGH
10096,Adam Robinson,27,1,0,0,1,0,1,2023,2,1HGCM82633A277851,0,964,389,1,0,1987,99,2,1,1,0,99,119,VERY HIGH
10097,James Lee,65,0,0,0,0,4,5,2021,1,1HGCM82633A460305,0,1043,480,1,0,1340,86,3,0,0,0,86,96,VERY HIGH
10098,Danielle Roy,49,1,0,0,0,1,13,2022,2,1HGCM82633A345240,0,952,309,0,0,0,80,4,1,0,0,80,90,VERY HIGH
10099,Joshua Oconnor,28,1,0,0,0,4,4,2022,0,1HGCM82633A507003,1,1246,590,2,0,2031,68,2,1,1,0,68,88,VERY HIGH
10100,Tony Murphy,29,1,0,0,1,1,3,2019,1,1HGCM82633A562376,1,1051,541,3,0,1843,85,1,0,1,0,85,105,VERY HIGH
10101,Christopher Murphy,62,1,0,0,1,0,10,2023,0,1HGCM82633A660648,2,1426,699,3,0,1941,77,0,0,1,0,77,97,VERY HIGH
10102,Veronica Bush,65,1,0,0,0,4,4,2022,0,1HGCM82633A091662,1,1202,521,0,0,0,89,4,0,0,0,89,99,VERY HIGH
10103,Charles Melton,35,0,0,0,1,2,12,2023,1,1HGCM82633A215323,2,915,488,2,0,1168,100,2,0,0,0,100,100,VERY HIGH
10104,Stephanie Newton,37,0,0,0,0,5,0,2021,1,1HGCM82633A821691,2,842,449,3,0,285,86,2,0,0,0,86,86,VERY HIGH
10105,Michelle Mendez,47,1,0,0,0,3,2,2021,0,1HGCM82633A456007,0,1240,595,3,0,3797,64,5,1,1,0,64,94,VERY HIGH
10106,Michael Ellis,59,1,0,0,0,4,5,2020,0,1HGCM82633A526547,0,1337,369,3,0,2924,99,5,0,1,0,99,129,VERY HIGH
10107,Joseph Roberts,68,1,0,0,1,0,1,2021,2,1HGCM82633A089840,2,1139,572,1,0,3081,95,2,1,1,0,95,115,VERY HIGH
10108,Bryan Reed,47,0,0,0,1,1,3,2022,1,1HGCM82633A040494,0,1499,378,1,0,40,97,4,1,0,0,97,107,VERY HIGH
10109,Pamela Black,63,1,0,0,1,5,0,2022,0,1HGCM82633A431953,0,810,359,2,0,3937,80,0,0,1,0,80,100,VERY HIGH
10110,Kim Hutchinson,62,0,0,0,1,4,5,2023,2,1HGCM82633A250909,0,1320,386,0,0,0,70,4,0,0,0,70,80,VERY HIGH
10111,Gregory Carter,53,0,0,0,1,3,2,2020,1,1HGCM82633A576962,0,1251,589,0,0,0,84,0,0,1,0,84,104,VERY HIGH
10112,Charles Williams,39,0,0,0,0,2,12,2021,2,1HGCM82633A507493,1,1364,630,3,0,3872,76,1,1,1,0,76,96,VERY HIGH
10113,Jessica Dodson,35,0,0,0,0,2,12,2019,1,1HGCM82633A821291,1,1379,509,0,0,0,76,3,1,0,0,76,86,VERY HIGH
10114,Lynn Daniels,43,1,0,0,1,3,8,2019,2,1HGCM82633A644406,0,1400,586,1,0,57,62,3,0,0,0,62,72,HIGH B
10115,David Rose,55,0,0,0,1,3,7,2020,0,1HGCM82633A536208,1,1118,440,1,0,73,91,2,0,0,0,91,91,VERY HIGH
10116,Meredith Harrington,29,0,0,0,1,4,4,2021,1,1HGCM82633A570869,0,1037,447,1,0,3941,82,2,0,0,0,82,82,VERY HIGH
10117,Alan Rice,32,0,0,0,1,1,3,2020,2,1HGCM82633A357039,2,1182,623,2,0,3538,77,2,0,1,0,77,97,VERY HIGH
10118,Tony House,31,0,0,0,1,3,9,2020,1,1HGCM82633A973781,0,991,473,3,0,1873,67,5,0,1,0,67,97,VERY HIGH
10119,Thomas Reilly,54,0,0,0,0,5,0,2023,1,1HGCM82633A644659,1,1038,461,0,0,0,65,3,0,1,0,65,95,VERY HIGH
10120,Eric Vasquez,39,0,0,0,0,1,13,2022,0,1HGCM82633A436666,1,1005,671,2,0,1462,67,1,0,0,0,67,67,HIGH A
10121,Amanda Marshall,39,1,0,0,0,2,12,2020,0,1HGCM82633A294506,2,1420,402,0,0,0,89,1,1,1,0,89,109,VERY HIGH
10122,Joseph Williams,29,1,0,0,0,4,14,2022,1,1HGCM82633A550131,0,1246,407,3,0,337,99,2,1,1,0,99,119,VERY HIGH
10123,Amanda Hebert,70,0,0,0,1,5,0,2020,2,1HGCM82633A562462,2,894,428,0,0,0,66,2,1,0,0,66,66,HIGH A
10124,Jennifer Torres,64,1,0,0,1,4,4,2021,0,1HGCM82633A222708,1,1320,556,0,0,0,95,0,0,0,0,95,95,VERY HIGH
10125,Justin Manning,57,0,0,0,1,4,14,2023,1,1HGCM82633A625911,0,1226,430,3,0,643,96,4,0,0,0,96,106,VERY HIGH
10126,Derek Mcbride,54,1,0,0,1,2,11,2019,1,1HGCM82633A448727,2,806,582,3,0,3654,74,3,1,1,0,74,104,VERY HIGH
10127,Mark Thompson,55,0,0,0,0,4,14,2021,1,1HGCM82633A051379,2,1297,606,1,0,4279,65,1,0,0,0,65,65,HIGH A
10128,Kelly Mckinney,28,1,0,0,1,3,6,2023,0,1HGCM82633A278081,1,1199,647,1,0,3370,91,1,1,1,0,91,111,VERY HIGH
10129,Robert Miller,28,0,0,0,0,5,0,2020,2,1HGCM82633A959756,2,1408,598,3,0,1246,100,5,0,0,0,100,110,VERY HIGH
10130,Ryan Fields,63,0,0,0,0,4,14,2023,1,1HGCM82633A502205,2,1001,300,0,0,0,63,1,1,1,0,63,83,VERY HIGH
10131,Cheryl Gutierrez,68,1,0,0,0,1,3,2021,2,1HGCM82633A460925,1,1305,650,1,0,1337,83,4,0,1,0,83,113,VERY HIGH
10132,Jeremiah Munoz,50,0,0,0,1,2,12,2020,0,1HGCM82633A449762,0,959,501,3,0,4428,73,2,1,0,0,73,73,HIGH B
10133,Dennis Avery,50,1,0,0,0,2,11,2023,0,1HGCM82633A511050,2,804,642,1,0,4348,91,2,0,0,0,91,91,VERY HIGH
10134,Michael Prince,30,0,0,0,0,4,14,2023,1,1HGCM82633A787710,1,885,681,0,0,0,75,4,1,1,0,75,105,VERY HIGH
10135,Jennifer Bowers,34,0,0,0,1,3,2,2022,1,1HGCM82633A081155,0,1191,496,2,0,1870,97,2,1,0,0,97,97,VERY HIGH
10136,Andrew Stout,34,0,0,0,1,3,2,2022,1,1HGCM82633A400652,1,1194,673,0,0,0,67,3,1,0,0,67,77,HIGH B
10137,Melissa Martin,26,1,0,0,1,4,5,2021,1,1HGCM82633A395076,1,918,476,2,0,3061,99,5,1,0,0,99,109,VERY HIGH
10138,Mark Murphy,46,1,0,0,0,2,12,2021,1,1HGCM82633A532675,0,1152,350,3,0,554,76,4,1,0,0,76,86,VERY HIGH
10139,Karl Smith,62,1,0,0,1,3,2,2020,1,1HGCM82633A062200,0,1371,662,1,0,1451,74,3,1,1,0,74,104,VERY HIGH
10140,Amanda Waters,47,1,0,0,1,5,0,2023,0,1HGCM82633A992260,0,1276,460,1,0,2267,95,5,1,0,0,95,105,VERY HIGH
10141,Thomas Cook,67,0,0,0,1,5,0,2019,0,1HGCM82633A258386,2,814,449,0,0,0,70,5,0,0,0,70,80,VERY HIGH
10142,Jason Hopkins,57,0,0,0,1,3,9,2023,2,1HGCM82633A663763,1,925,341,3,0,2655,71,2,1,1,0,71,91,VERY HIGH
10143,John Knapp,68,0,0,0,0,3,7,2021,0,1HGCM82633A448580,2,1120,462,2,0,396,75,5,1,1,0,75,105,VERY HIGH
10144,Karen Young,63,1,0,0,1,2,11,2023,0,1HGCM82633A956180,1,1120,572,3,0,3676,67,3,0,0,0,67,77,HIGH B
10145,Alyssa Fisher,58,1,0,0,0,5,0,2022,0,1HGCM82633A617972,0,883,457,0,0,0,71,1,0,0,0,71,71,HIGH B
10146,John Moore,48,0,0,0,0,1,13,2022,1,1HGCM82633A815525,1,1213,520,3,0,478,70,5,0,0,0,70,80,VERY HIGH
10147,Joseph Brown,40,1,0,0,0,0,1,2020,2,1HGCM82633A295460,1,1357,313,1,0,1905,86,5,1,0,0,86,96,VERY HIGH
10148,Amanda Jenkins,60,1,0,0,0,5,0,2023,1,1HGCM82633A352219,2,821,669,3,0,1636,63,3,1,1,0,63,93,VERY HIGH
10149,Jeffrey Ross,57,0,0,0,0,2,11,2019,0,1HGCM82633A168822,0,1345,305,0,0,0,60,5,1,1,0,60,90,VERY HIGH
10150,Christopher Johnson,53,0,0,0,1,0,10,2021,2,1HGCM82633A759451,0,961,600,1,0,1719,62,0,1,1,0,62,82,VERY HIGH
10151,Deborah Moore,40,0,0,0,0,1,3,2019,2,1HGCM82633A858268,0,1159,641,2,0,3006,79,4,0,0,0,79,89,VERY HIGH
10152,Thomas Gray,26,0,0,0,0,1,3,2021,1,1HGCM82633A784661,1,1250,371,3,0,2424,81,2,0,1,0,81,101,VERY HIGH
10153,Brittany Silva,62,0,0,0,1,5,0,2020,1,1HGCM82633A813998,0,1071,563,1,0,4175,68,4,0,1,0,68,98,VERY HIGH
10154,Nicholas Jackson,41,0,0,0,1,2,12,2020,1,1HGCM82633A001575,1,870,309,1,0,4892,66,2,1,0,0,66,66,HIGH A
10155,Jackie Horton,36,1,0,0,1,1,3,2019,2,1HGCM82633A732881,2,816,310,1,0,2542,75,3,0,1,0,75,105,VERY HIGH
10156,Carol Carey,47,1,0,0,1,3,7,2020,0,1HGCM82633A869376,2,1344,439,2,0,1708,84,1,0,0,0,84,84,VERY HIGH
10157,Chad Price,36,0,0,0,0,1,3,2023,2,1HGCM82633A906196,0,802,327,3,0,4951,62,5,1,0,0,62,72,HIGH B
10158,Shane Williams,51,0,0,0,1,5,0,2019,1,1HGCM82633A148786,0,1123,636,2,0,3981,90,4,0,1,0,90,120,VERY HIGH
10159,David Diaz,66,1,0,0,1,4,5,2023,1,1HGCM82633A927117,2,1214,611,3,0,3451,70,4,0,0,0,70,80,VERY HIGH
10160,Jennifer Davis,68,1,0,0,0,4,4,2022,1,1HGCM82633A314251,2,902,650,3,0,2148,77,0,0,0,0,77,77,HIGH B
10161,Amy Wade,25,1,0,0,0,4,5,2022,1,1HGCM82633A830068,1,827,460,1,0,696,85,5,1,0,0,85,95,VERY HIGH
10162,Katherine Vaughn,38,0,0,0,0,3,2,2022,0,1HGCM82633A855103,2,1104,508,3,0,4475,63,5,0,0,0,63,73,HIGH B
10163,Dr. Donald Smith MD,60,1,0,0,0,1,13,2019,2,1HGCM82633A511496,1,1094,437,2,0,1733,85,5,1,0,0,85,95,VERY HIGH
10164,Tracey Valencia,58,1,0,0,0,5,0,2020,0,1HGCM82633A343754,2,937,358,2,0,52,80,1,0,0,0,80,80,VERY HIGH
10165,Sandra Wilson,30,0,0,0,0,0,10,2021,2,1HGCM82633A873556,1,1281,574,0,0,0,65,2,0,1,0,65,85,VERY HIGH
10166,William Saunders,50,0,0,0,1,1,13,2020,0,1HGCM82633A417417,2,1209,561,2,0,1213,64,1,1,0,0,64,64,HIGH A
10167,David Lopez,49,1,0,0,0,1,3,2023,1,1HGCM82633A731667,1,1481,672,3,0,3294,97,2,0,1,0,97,117,VERY HIGH
10168,Timothy Duarte,39,1,0,0,1,0,10,2023,0,1HGCM82633A368473,0,1388,339,3,0,908,83,3,1,0,0,83,93,VERY HIGH
10169,April Ruiz,58,1,0,0,0,1,3,2019,1,1HGCM82633A360906,0,1149,437,3,0,3957,86,0,1,1,0,86,106,VERY HIGH
10170,Nicholas White,47,1,0,0,0,5,0,2023,2,1HGCM82633A503006,0,1194,656,2,0,4753,90,1,1,1,0,90,110,VERY HIGH
10171,Bruce Jacobs,64,1,0,0,1,0,10,2022,2,1HGCM82633A173089,2,947,562,3,0,3206,75,2,0,1,0,75,95,VERY HIGH
10172,Christopher Young,40,1,0,0,1,4,4,2023,1,1HGCM82633A670636,1,1043,606,2,0,1199,80,1,1,1,0,80,100,VERY HIGH
10173,Troy Johnson,60,1,0,0,0,2,11,2020,2,1HGCM82633A557298,0,1414,483,1,0,727,94,3,1,1,0,94,124,VERY HIGH
10174,Brian Garcia,49,0,0,0,0,0,10,2021,2,1HGCM82633A292639,0,844,398,1,0,4947,70,4,0,0,0,70,80,VERY HIGH
10175,Jason Mason,41,0,0,0,1,2,11,2022,0,1HGCM82633A171877,0,860,471,1,0,2180,99,5,0,1,0,99,129,VERY HIGH
10176,Gerald Butler,60,0,0,0,1,0,1,2019,2,1HGCM82633A198537,0,1443,346,0,0,0,97,4,0,0,0,97,107,VERY HIGH
10177,John Mcconnell,61,1,0,0,0,3,7,2021,0,1HGCM82633A708673,2,1200,663,1,0,4716,99,4,1,1,0,99,129,VERY HIGH
